Objectid ,Straat ,Type_en_merk ,Aantal ,geo_shape,geo_point_2d,neighbourhood,avg_income
7182,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474765519980276, 51.46863549915811], ""type"": ""Point""}","51.46863549915811, 5.474765519980276",Winkelcentrum,"38,7"
7397,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467110038629566, 51.43853223298286], ""type"": ""Point""}","51.43853223298286, 5.467110038629566","Eliasterrein, Vonderkwartier","47,9"
7619,Kreugelstraat,Parkeerplaats,1.0,"{""coordinates"": [5.451977771499409, 51.44722878807833], ""type"": ""Point""}","51.44722878807833, 5.451977771499409",Schoot,"37,2"
7629,Kastanjelaan,Parkeerplaats Gehandicapten,1.0,"{""coordinates"": [5.454537485944237, 51.445488426571934], ""type"": ""Point""}","51.445488426571934, 5.454537485944237",Schoot,"37,2"
5868,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.4738425190607, 51.46894625319287], ""type"": ""Point""}","51.46894625319287, 5.4738425190607",Winkelcentrum,"38,7"
5874,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.47299422539757, 51.46881960198875], ""type"": ""Point""}","51.46881960198875, 5.47299422539757",Winkelcentrum,"38,7"
5876,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473064339690331, 51.46881817504178], ""type"": ""Point""}","51.46881817504178, 5.473064339690331",Winkelcentrum,"38,7"
5877,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473090633521187, 51.4688181556491], ""type"": ""Point""}","51.4688181556491, 5.473090633521187",Winkelcentrum,"38,7"
5879,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.47316733927283, 51.46881673276656], ""type"": ""Point""}","51.46881673276656, 5.47316733927283",Winkelcentrum,"38,7"
5880,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473206770242764, 51.46881533737239], ""type"": ""Point""}","51.46881533737239, 5.473206770242764",Winkelcentrum,"38,7"
6143,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471288579920958, 51.433541815232836], ""type"": ""Point""}","51.433541815232836, 5.471288579920958",Oude Spoorbaan,"37,8"
6150,St Lambertusstraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.471337031479464, 51.43369163941007], ""type"": ""Point""}","51.43369163941007, 5.471337031479464",Oude Spoorbaan,"37,8"
6151,St Lambertusstraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.4713617123147245, 51.43368574297067], ""type"": ""Point""}","51.43368574297067, 5.4713617123147245",Oude Spoorbaan,"37,8"
6153,St Lambertusstraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.471434529734144, 51.433666598342434], ""type"": ""Point""}","51.433666598342434, 5.471434529734144",Oude Spoorbaan,"37,8"
6156,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471147823124967, 51.43369103897425], ""type"": ""Point""}","51.43369103897425, 5.471147823124967",Oude Spoorbaan,"37,8"
6157,St Lambertusstraat,Parkeerplaats,1.0,"{""coordinates"": [5.471136044354467, 51.43367488583187], ""type"": ""Point""}","51.43367488583187, 5.471136044354467",Oude Spoorbaan,"37,8"
6413,Michelangelolaan,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.470692645479752, 51.46434599569755], ""type"": ""Point""}","51.46434599569755, 5.470692645479752",Rapenland,"36,0"
